customer_id,name,email,city,signup_date,age
C00001,Gaurav Verma,gaurav.verma27@example.org,Bangalore,2026-01-31,38
C00002,Ravi Krishnan,ravi.krishnan1@example.com,Bangalore,2025-05-10,29
C00003,Nitya Joshi,nitya.joshi88@example.org,Kolkata,2026-02-04,43
C00004,Farhan Shetty,farhan.shetty10@example.com,Hyderabad,2025-12-31,36
C00005,Omkar Patel,omkar.patel54@example.org,Bangalore,2025-11-10,34
C00006,Venkat Mishra,venkat.mishra88@example.com,Delhi,2023-05-02,38
C00007,Amitabh Verma,amitabh.verma23@example.org,Bangalore,2024-04-11,32
C00008,Deepak Iyer,deepak.iyer48@example.com,Kolkata,2023-11-27,18
C00009,Pooja Yadav,pooja.yadav38@example.com,Delhi,2023-03-29,26
C00010,Xenia Verma,xenia.verma15@example.com,Kolkata,2026-01-28,39
C00011,Radha Pillai,radha.pillai69@example.org,Hyderabad,2025-05-21,23
C00012,Omkar Roy,omkar.roy27@example.org,Chennai,2023-05-11,28
C00013,Nitya Tiwari,nitya.tiwari34@example.org,Delhi,2025-02-08,21
C00014,Venkat Bose,venkat.bose4@example.org,Chennai,2023-12-10,44
C00015,Aarav Ramesh,aarav.ramesh50@example.org,Bangalore,2025-03-16,43
C00016,Lakshmi Naik,lakshmi.naik49@example.org,Chennai,2024-01-21,22
C00017,Zara Ghosh,zara.ghosh76@example.org,Pune,2025-08-13,31
C00018,Ravi Rao,ravi.rao3@example.org,Pune,2023-10-04,24
C00019,Nikhil Ramesh,nikhil.ramesh49@example.com,Hyderabad,2026-03-30,34
C00020,Sneha Shah,sneha.shah1@example.com,Delhi,2024-04-04,34
C00021,Deepak Chakraborty,deepak.chakraborty36@example.com,Kolkata,2023-01-22,36
C00022,Divya Mukherjee,divya.mukherjee63@example.com,Bangalore,2023-09-10,32
C00023,Suresh Kapoor,suresh.kapoor52@example.com,Bangalore,2025-01-17,53
C00024,Raj Gupta,raj.gupta89@example.com,Pune,2025-05-06,21
C00025,Dhruv Tripathi,dhruv.tripathi98@example.com,Pune,2024-04-19,18
C00026,Harini Chakraborty,harini.chakraborty74@example.org,Chennai,2025-12-18,26
C00027,Deepa Saxena,deepa.saxena96@example.com,Delhi,2024-05-25,18
C00028,Sakshi Bhat,sakshi.bhat91@example.com,Delhi,2024-11-30,18
C00029,Zubair Banerjee,zubair.banerjee85@example.com,Pune,2025-09-02,21
C00030,Tarun Pillai,tarun.pillai62@example.com,Delhi,2023-07-09,22
C00031,Aryan Gupta,aryan.gupta50@example.com,Bangalore,2025-08-15,22
C00032,Pooja Suresh,pooja.suresh77@example.org,Delhi,2024-11-17,34
C00033,Sakshi Patel,sakshi.patel36@example.com,Delhi,2025-08-15,25
C00034,Pooja Shah,pooja.shah6@example.com,Hyderabad,2024-07-16,28
C00035,Varun Bose,varun.bose7@example.org,Hyderabad,2025-04-11,37
C00036,Dhruv Bhat,dhruv.bhat96@example.org,Pune,2026-02-28,23
C00037,Tanvi Reddy,tanvi.reddy75@example.com,Pune,2024-10-08,27
C00038,Uday Mukherjee,uday.mukherjee11@example.com,Mumbai,2023-01-21,32
C00039,Neha Kamath,neha.kamath22@example.org,Mumbai,2025-04-20,18
C00040,Rajesh Naik,rajesh.naik66@example.com,Delhi,2023-06-16,18
C00041,Ashwin Kapoor,ashwin.kapoor36@example.com,Bangalore,2024-01-23,32
C00042,Manish Tripathi,manish.tripathi16@example.org,Chennai,2024-08-23,33
C00043,Priya Reddy,priya.reddy3@example.com,Chennai,2023-11-12,46
C00044,Esha Chakraborty,esha.chakraborty69@example.com,Mumbai,2023-01-14,31
C00045,Rajesh Bhat,rajesh.bhat58@example.com,Chennai,2023-08-30,36
C00046,Radha Menon,radha.menon84@example.org,Bangalore,2025-02-15,28
C00047,Shweta Suresh,shweta.suresh62@example.com,Bangalore,2024-07-18,32
C00048,Ankit Menon,ankit.menon87@example.org,Mumbai,2025-06-16,43
C00049,Amitabh Dutta,amitabh.dutta68@example.org,Pune,2023-04-02,18
C00050,Vishal Bose,vishal.bose74@example.org,Delhi,2025-08-13,33
C00051,Aryan Iyer,aryan.iyer37@example.org,Delhi,2024-05-23,47
C00052,Sunita Rajan,sunita.rajan80@example.org,Hyderabad,2025-02-14,32
C00053,Shreya Iyer,shreya.iyer41@example.com,Delhi,2023-02-04,43
C00054,Indira Sen,indira.sen18@example.com,Bangalore,2023-07-25,24
C00055,Dhruv Rao,dhruv.rao63@example.com,Bangalore,2026-01-09,29
C00056,Raj Joshi,raj.joshi15@example.com,Hyderabad,2025-10-22,30
C00057,Priya Venkatesh,priya.venkatesh70@example.org,Mumbai,2025-10-18,18
C00058,Radha Tripathi,radha.tripathi43@example.org,Delhi,2024-07-19,20
C00059,Raj Venkatesh,raj.venkatesh46@example.org,Bangalore,2026-02-03,21
C00060,Uma Mishra,uma.mishra71@example.com,Mumbai,2024-12-03,36
C00061,Uma Sen,uma.sen2@example.com,Bangalore,2024-02-06,36
C00062,Tanvi Menon,tanvi.menon10@example.org,Ahmedabad,2024-12-30,32
C00063,Karthik Yadav,karthik.yadav28@example.org,Hyderabad,2023-06-11,36
C00064,Indira Patel,indira.patel53@example.org,Hyderabad,2023-07-21,28
C00065,Anjali Mehta,anjali.mehta13@example.com,Delhi,2025-09-22,39
C00066,Kunal Bhat,kunal.bhat26@example.org,Hyderabad,2023-09-27,30
C00067,Lakshmi Shetty,lakshmi.shetty22@example.com,Mumbai,2025-03-26,30
C00068,Zara Kapoor,zara.kapoor47@example.org,Hyderabad,2024-03-31,27
C00069,Aryan Chakraborty,aryan.chakraborty58@example.org,Mumbai,2025-10-13,35
C00070,Varun Kapoor,varun.kapoor96@example.com,Delhi,2023-10-23,26
C00071,Esha Srivastava,esha.srivastava14@example.org,Chennai,2024-12-20,37
C00072,Rahul Saxena,rahul.saxena77@example.org,Hyderabad,2023-12-04,20
C00073,Arjun Shetty,arjun.shetty78@example.org,Ahmedabad,2025-05-28,21
C00074,Gaurav Shetty,gaurav.shetty28@example.org,Delhi,2025-12-12,35
C00075,Nalini Ramesh,nalini.ramesh72@example.org,Chennai,2025-03-02,29
C00076,Rajesh Suresh,rajesh.suresh12@example.com,Bangalore,2023-08-05,26
C00077,Sneha Mehta,sneha.mehta68@example.com,Bangalore,2025-02-02,37
C00078,Sakshi Mishra,sakshi.mishra51@example.com,Mumbai,2023-07-07,25
C00079,Lakshmi Pandey,lakshmi.pandey90@example.com,Hyderabad,2024-01-15,28
C00080,Aarav Subramaniam,aarav.subramaniam15@example.com,Hyderabad,2024-05-07,41
C00081,Raj Yadav,raj.yadav83@example.com,Delhi,2025-11-30,42
C00082,Meera Yadav,meera.yadav64@example.com,Hyderabad,2026-03-26,42
C00083,Farhan Bhat,farhan.bhat55@example.com,Bangalore,2023-01-15,27
C00084,Saloni Bhat,saloni.bhat45@example.org,Delhi,2023-03-06,39
C00085,Jaya Kapoor,jaya.kapoor88@example.com,Mumbai,2024-06-04,22
C00086,Nandini Rao,nandini.rao15@example.com,Bangalore,2026-02-26,22
C00087,Uday Ramesh,uday.ramesh29@example.org,Mumbai,2024-10-09,18
C00088,Lakshmi Tripathi,lakshmi.tripathi54@example.com,Bangalore,2025-12-22,43
C00089,Madhuri Sharma,madhuri.sharma31@example.com,Hyderabad,2026-03-08,23
C00090,Waqar Dutta,waqar.dutta61@example.com,Pune,2024-08-15,28
C00091,Hemant Verma,hemant.verma35@example.org,Pune,2024-01-27,22
